"pathway","pval","padj","log2err","ES","NES","size","leadingEdge"
"GOBP_SENSORY_PERCEPTION_OF_CHEMICAL_STIMULUS",1.99681260875801e-05,0.0643373022541832,0.575610261071129,0.370524437029969,1.86378417136109,172,"Or4e2; Asic2; Or4b13; Or3a1b; Or6d15; Or4k35; Or5b21; Or51a43; Or10g3; Or4k36; Wnt10b; Or6d12; Or1e21; Or2ag15; Or13a18; Rtp3; Or6d14; Or5bb10; Or13l2; Or51a42; Or2ak7; Or2y1g; Or2ag18; Or2y1b; Or52r1; Or13a19; Or10s1; Pkd1l3; Pde4a; Or9q2; Or6b13; Or13c7d; Or52s19; Omp; Or8b56; Or10d5; Cngb1; Or11g27; Or10am5; Or6d13; Or1m1; Or10j5; Or2t44; Trpv1; Or8s5; Or13a28; Or6f2; P2rx3; Vmn1r40; Or2ak4; Or52b2; Or52x1; Or2k2; Gng13; Or6c1b; Or8b8; Or52n4; Or52a5; Or2ag2b; Or55b10; Or10d5j; Or6z6; Car6; Or1f19; Or10g1; Or8c20; Or51k2"
"GOBP_SENSORY_PERCEPTION",5.92854153839734e-05,0.0955088041835812,0.557332238758646,0.277984487208991,1.54634780096179,410,"Col11a2; Or4e2; Kcna2; Asic2; Or4b13; Or3a1b; Or6d15; Tulp1; Or4k35; Or5b21; Or51a43; Or10g3; Or4k36; Wnt10b; Serpinb6a; Kcnq1; Ntrk1; Or6d12; Or1e21; Or2ag15; Crygf; Or13a18; Rtp3; Fyn; Or6d14; Loxhd1; Cacna1d; Or5bb10; Cngb3; Mir181d; Tbx1; Or13l2; Or51a42; Or2ak7; Mir199a-1; Or2y1g; Or2ag18; Tmtc4; Or2y1b; Or52r1; Or13a19; Or10s1; Slc1a3; Pkd1l3; Pde4a; Slc24a1; Drgx; Dlg2; Or9q2; Ankrd24; Zfhx2; Mir146b; Serpine2; Or6b13; Or13c7d; Or52s19; Fam107b; Scn8a; Unc119; Triobp; Omp; Or8b56; Or10d5; Cngb1; Hpn; Pde6h; Pomgnt1; Or11g27; Pdcl; Retreg1; Or10am5; Crym; Or6d13; Or1m1; Ptprq; Rgs9bp; Cdk5; Epyc; Mir200c; Six1; Or10j5; Or2t44; Mir149; Trpv1; Cdh23; Or8s5; Or13a28; Or6f2; Espn; P2rx3; Pou4f2; Vmn1r40; Phf24; Snai2; Mir383; Atpsckmt; Or2ak4; Tmem120a; Grin2d; Mir28a; Rdh8; Mir23a; Ccdc66; Spns2; Tub; Tac1; Psap; Or52b2; Or52x1; Grk1; Nipsnap1; Kcnma1; Pnoc; Or2k2; Gng13; Grm1; Or6c1b; Rest; Or8b8; Or52n4; Or52a5; Sptbn4; Or2ag2b; Cxcl12; Or55b10; Myo7b; Cacnb3; Or10d5j; Mir24-2; Or6z6; Mir181c; Car6; Or1f19; Myo1a; Homer2; Mc1r; Or10g1; Or8c20; Nyx; Scarb2; Disc1; Or51k2; Slc17a8; Ppef2; Cacnb4; Arrb1; Drd2; Ucn; Prx; Mir326; Nrg1"
"GOBP_ASPARTATE_FAMILY_AMINO_ACID_BIOSYNTHETIC_PROCESS",0.000478082613050915,0.261056415968337,0.49849310876659,0.651311538352419,1.95299051585058,16,"Aass"
"GOBP_PIGMENT_BIOSYNTHETIC_PROCESS",0.000486138577222229,0.261056415968337,0.49849310876659,-0.537756513769329,-2.00355451642558,36,"Atp5if1; Abcb7; Pgrmc1; Sox2; Alad; Cited1; Abcb10; Slc7a11; Cox10; Zeb2; Pmel; Ctns; Ddt; Alas2; a; Opn3; Hmbs"
"GOBP_RIBONUCLEOPROTEIN_COMPLEX_BIOGENESIS",0.000359224641917458,0.261056415968337,0.49849310876659,-0.292818010105797,-1.58857655718982,306,"Gcfc2; Ddx52; Pop4; Prmt5; Pak1ip1; Rrp8; Pih1d1; Rps5; Tsr3; Ddx46; Rpsa; Srsf1; Eif2s3x; Nip7; Sf3a2; Usp16; Exosc1; Eri1; Ran; Ddx27; Fbl; Mettl5; Gar1; Tma16; Rps27l; Ddx21; Las1l; Pes1; Dkc1; Wdr75; Rpl10; Mettl16; Rpl27; Snrpc; Rps27; Rrp12; Bms1; Rpusd4; Luc7l; Gtf2h5; Mak16; Frg1; Rbfa; Snrpf; Ddx10; Nmd3; Prpf18; Nsun3; Lsm6; C1qbp; Crnkl1; 1700009N14Rik; Srpk1; Surf6; Utp11; Rpl6; Mphosph10; Prpf4b; Gnl3l; Eif3a; Nsun5; Nhp2; Mettl17; Gtpbp10; Psip1; Isy1; Rpl10l; Rps7; Ddx54; Glul; Exosc5; Wbp11; Zfp622; Krr1; Riox2; Rps8; Dhx37; Nol6; Prkra; Rps13; Htatsf1; Efl1; Snrpd2; Gemin8; Rpusd1; Rpl35a; Mrm1; Mbnl1; Ruvbl1; Noa1; Rbm34; Rasl2-9; Exosc2; Imp3; Sart1; Rps17; Rpl26; Pwp1; Dcaf13; Ptges3; Utp4; Rps19; Rps12; Prmt7; Wdr55; Sf3a3; Nol10; Sbds; Clns1a; Sf3a1; Riok1"
"GOBP_RIBOSOME_BIOGENESIS",0.000475544103877554,0.261056415968337,0.49849310876659,-0.303031296180111,-1.6028813422279,235,"Ddx52; Pop4; Pak1ip1; Rrp8; Pih1d1; Rps5; Tsr3; Rpsa; Nip7; Usp16; Exosc1; Eri1; Ran; Ddx27; Fbl; Mettl5; Gar1; Tma16; Rps27l; Ddx21; Las1l; Pes1; Dkc1; Wdr75; Rpl10; Mettl16; Rpl27; Rps27; Rrp12; Bms1; Rpusd4; Gtf2h5; Mak16; Frg1; Rbfa; Ddx10; Nmd3; Nsun3; Lsm6; C1qbp; 1700009N14Rik; Surf6; Utp11; Rpl6; Mphosph10; Gnl3l; Nsun5; Nhp2; Mettl17; Gtpbp10; Rpl10l; Rps7; Ddx54; Glul; Exosc5; Wbp11; Zfp622; Krr1; Riox2; Rps8; Dhx37; Nol6; Rps13"
"GOBP_AMINO_ACID_BIOSYNTHETIC_PROCESS",0.00142962242171325,0.511804826973344,0.45505986738723,0.487341123487826,1.89714421132649,43,"Aass; Atp2b4; Phgdh; Aldh1a1; Slc1a3; Slc25a12; Ilvbl; Aldh18a1; Bhmt2; Bcat2; Plod3; Sdsl"
"GOBP_EMBRYONIC_DIGESTIVE_TRACT_DEVELOPMENT",0.00113466143924788,0.511804826973344,0.45505986738723,-0.610299094464596,-1.95581848318739,20,"Sox11; Tcf7l2; Ihh; Ovol2; Six2; Fgf9; Vps52; Id2"
"GOBP_PIGMENT_METABOLIC_PROCESS",0.00140419435492389,0.511804826973344,0.45505986738723,-0.471645302767394,-1.81705534351194,45,"Atp5if1; Hmox1; Slc48a1; Abcb7; Pgrmc1; Sox2; Alad; Cited1; Abcb10; Slc7a11; Cox10; Zeb2; Pmel; Ctns; Ddt; Alas2; a; Opn3; Hmbs"
"GOBP_ALPHA_AMINO_ACID_BIOSYNTHETIC_PROCESS",0.00245314243315876,0.608696059123923,0.431707695803346,0.483734099886274,1.81184231558144,38,"Aass; Atp2b4; Phgdh; Slc25a12; Ilvbl; Aldh18a1; Bhmt2; Bcat2; Plod3; Sdsl"
