"ProbeID","logFC","CI.L","CI.R","AveExpr","t","P.Value","adj.P.Val","B","SYMBOL","ENSEMBL"
"10394783",0.411751391778173,-0.0518545495249405,0.875357333081287,9.46349387002494,1.91178775067069,0.0773937391003859,0.291754802849025,-4.69709531039943,"1700030C10Rik","ENSMUSG00000099759"
"10531181",0.168460347355091,-0.0296720652430667,0.366592759953248,8.05994736070021,1.83018822053389,0.0894141779171704,0.312364474251369,-4.82268168663169,"Adamts3","ENSMUSG00000043635"
"10587627",0.0361268847004151,-0.165099515780325,0.237353285181155,10.2182474808386,0.386455191824603,0.705190279629393,0.848273290307446,-6.3013608990136,"Cyb5r4","ENSMUSG00000032872"
"10462136",-0.420167026038793,-0.650710959014614,-0.189623093062973,10.3836469763728,-3.92303209158239,0.00163743071663424,0.0631325517619433,-1.09436537479899,"Cycs","ENSMUSG00000063694"
"10448559",0.213584465304354,-0.0959077321761886,0.523076662784897,7.92770873654664,1.48550305416037,0.160416410663136,0.40060419939797,-5.31460827077243,"D330041H03Rik","ENSMUSG00000073437"
"10586250",-0.193812145502366,-0.41163700941245,0.0240127184077181,8.95232535189984,-1.91525731470108,0.0769166554573269,0.29074203118651,-4.69168674986779,"Dennd4a","ENSMUSG00000053641"
"10485115",0.173060005626949,-0.0321455468722605,0.378265558126158,8.8351782280652,1.81535346073239,0.0917715522612725,0.316151241817907,-4.84517051947078,"Dgkz","ENSMUSG00000040479"
"10403466",-0.197637640721405,-0.386833108718414,-0.00844217272439729,8.82180564542755,-2.24860164295328,0.0418385943445056,0.228232142978659,-4.14902215166257,"Dip2c","ENSMUSG00000048264"
"10593671",-0.0255561115636075,-0.201453951582065,0.15034172845485,10.3792532752471,-0.312743189291094,0.759261118805629,0.879680374966055,-6.32800950329181,"Dmxl2","ENSMUSG00000041268"
"10525858",0.268356936615468,0.0922407575478474,0.444473115683088,10.4222520549546,3.2799495428004,0.00572246608123718,0.109966500601098,-2.29223693086487,"Dnah10","ENSMUSG00000038011"
