"ProbeID","logFC","CI.L","CI.R","AveExpr","t","P.Value","adj.P.Val","B","status","SYMBOL_final","ENSEMBL_final","GENES","threshold","Exclude_bio_change"
"10338294",-0.0168616226638141,-0.240094133328207,0.206370888000579,9.10101330537808,-0.162614547304554,0.873237724336601,0.944145315255475,-6.40523550698875,"only_in_df2","","ENSMUSG00000123626","_ENSMUSG00000123626",FALSE,TRUE
"10338366",-0.13780772306163,-0.447145018587112,0.171529572463853,8.75864307959672,-0.959088635162493,0.35442470065042,0.62336106643816,-5.95397113434561,"only_in_df2","Gm47260","ENSMUSG00000113328","Gm47260_ENSMUSG00000113328",FALSE,TRUE
"10338998",0.218799851822518,-0.0348486367344659,0.472448340379502,8.82027548440801,1.85708685824096,0.0853110904343212,0.33595711909242,-4.81790392436505,"only_in_df2","","ENSMUSG00000126489","_ENSMUSG00000126489",FALSE,TRUE
"10339039",0.221936458144292,0.0299918681769836,0.4138810481116,9.01437482094158,2.48925992262511,0.0265877426857137,0.212961207887073,-3.7673412339239,"only_in_df2","","ENSMUSG00000137209","_ENSMUSG00000137209",FALSE,TRUE
"10339271",-0.124012186016956,-0.375000925108713,0.126976553074801,8.22544283432143,-1.06372066946636,0.306165408211882,0.582356433276389,-5.85128677215271,"only_in_df2","Twnk","ENSMUSG00000025209","Twnk_ENSMUSG00000025209",FALSE,TRUE
"10339479",-0.108647005738889,-0.317961967078223,0.100667955600446,8.59098451323797,-1.1174676566569,0.283342382833979,0.56137209598982,-5.79506732049428,"only_in_df2","Tmem216","ENSMUSG00000024667","Tmem216_ENSMUSG00000024667",FALSE,TRUE
"10340342",0.244722689415762,0.0177254282890517,0.471719950542473,9.87668332068086,2.32097836134238,0.0365617528163192,0.239517645355716,-4.06019225760234,"only_in_df2","Gm29093","ENSMUSG00000100201","Gm29093_ENSMUSG00000100201",FALSE,TRUE
"10340510",-0.204575899524955,-0.424632591701955,0.0154807926520455,9.37526088988266,-2.00141597023681,0.0659265109712581,0.298691693807152,-4.59135191443573,"only_in_df2","1700037C18Rik","ENSMUSG00000005983","1700037C18Rik_ENSMUSG00000005983",FALSE,TRUE
"10340932",-0.127793639866998,-0.389910053426582,0.134322773692586,8.81753443842153,-1.049620960885,0.312372166008634,0.587435389512346,-5.86565036820538,"only_in_df2","Ilf2","ENSMUSG00000001016","Ilf2_ENSMUSG00000001016",FALSE,TRUE
"10340976",0.247290555487882,0.00584990494783574,0.488731206027929,9.0599210986938,2.20503054289806,0.045400705417353,0.25780456369325,-4.2570966434072,"only_in_df2","Gm37035","ENSMUSG00000102564","Gm37035_ENSMUSG00000102564",FALSE,TRUE
"10342155",0.069127816690735,-0.159302755421152,0.297558388802622,8.12149880066716,0.651502497601858,0.525689371688,0.749225529029064,-6.20051865816121,"only_in_df2","Gps1","ENSMUSG00000025156","Gps1_ENSMUSG00000025156",FALSE,TRUE
"10342313",-0.14528763041637,-0.36205553477021,0.0714802739374689,8.09721891052802,-1.4429495052074,0.17189935031963,0.445983108755172,-5.40823374819954,"only_in_df2","Mir6942","ENSMUSG00000098790","Mir6942_ENSMUSG00000098790",FALSE,TRUE
"10342358",-0.0636791398529682,-0.290005545440975,0.162647265735038,10.8820426245297,-0.60573048920806,0.554770135124522,0.769401088593824,-6.22974207537071,"only_in_df2","Lamtor5","ENSMUSG00000087260","Lamtor5_ENSMUSG00000087260",FALSE,TRUE
"10342555",0.0878374559966644,-0.126590257293968,0.302265169287297,9.48024605508667,0.881893835229155,0.393309562077117,0.657024077696838,-6.02379466247903,"only_in_df2","","ENSMUSG00000136043","_ENSMUSG00000136043",FALSE,TRUE
