"ProbeID","logFC","CI.L","CI.R","AveExpr","t","P.Value","adj.P.Val","B","SYMBOL","ENSEMBL","GENE_ID"
"10498002",0.0575952789086513,-0.146908249362483,0.262098807179786,12.9256662956202,0.606322315257986,0.554388588141263,0.769239555243572,-6.22937703108128,"1700018B24Rik",NA,"1700018B24Rik"
"10401950",-0.0448303661189542,-0.276593852335089,0.18693312009718,10.8012112528793,-0.416432621262546,0.683656999813911,0.845777161318514,-6.32892689909004,"1700019M22Rik",NA,"1700019M22Rik"
"10546098",-0.238771103224046,-0.5353941814324,0.0578519749843088,9.75347680363047,-1.73298299226696,0.105931853949811,0.36751744708187,-5.00477475828362,"1700031F10Rik",NA,"1700031F10Rik"
"10369894",0.00164833578101166,-0.168940685266078,0.172237356828102,9.81245863168104,0.020802334768245,0.983708532585868,0.992708858434292,-6.41882919159089,"1700049L16Rik",NA,"1700049L16Rik"
"10418169",0.0595212357135753,-0.129681855202495,0.248724326629645,10.3670246305801,0.677268978836653,0.509708073788093,0.73930685813984,-6.18319076410878,"1700054O19Rik",NA,"1700054O19Rik"
"10445743",0.0898851339897034,-0.112123306476875,0.291893574456282,11.8099939951018,0.957934525590814,0.354985493815366,0.624074030720943,-5.95505271366317,"1700067P10Rik",NA,"1700067P10Rik"
"10542724",-0.571322648435034,-0.807007082962112,-0.335638213907956,9.24927140904342,-5.21876825097918,0.000147785498842992,0.021448483362201,1.20908128527977,"1700073E17Rik",NA,"1700073E17Rik"
"10568278",0.150038122798702,-0.0766055132382122,0.376681758835616,9.75937321930054,1.42519918339581,0.176872564708336,0.450540688195519,-5.43124628848021,"1700120K04Rik",NA,"1700120K04Rik"
"10432571",0.0917322651793649,-0.125278734993292,0.308743265352022,8.80074752065318,0.91003446688158,0.378811132342024,0.644431748437892,-5.99893773903875,"2310068J16Rik",NA,"2310068J16Rik"
"10462088",0.084393632843763,-0.129318794110116,0.298106059797641,7.9637658135796,0.850153560061722,0.410106570151945,0.668718054639422,-6.05099756240989,"2410080I02Rik",NA,"2410080I02Rik"
"10565567",-0.131636777515583,-0.349703701001592,0.0864301459704253,9.18550760624191,-1.29958568094577,0.215558918547062,0.491319343957977,-5.58800982938172,"4632427E13Rik",NA,"4632427E13Rik"
"10601607",0.0900436436261735,-0.0970079683524993,0.277095255604846,11.9492206855982,1.0363562650527,0.318295226733484,0.592784504651093,-5.87901543497605,"4921511C20Rik",NA,"4921511C20Rik"
"10489589",0.0377308813592817,-0.155614032765155,0.231075795483718,9.13884112887879,0.420128041362282,0.68102070310644,0.844527237195843,-6.32733089268258,"4930445K14Rik",NA,"4930445K14Rik"
"10456889",-0.50933555053543,-1.00233711102111,-0.0163339900497475,9.99792739745759,-2.22419657710744,0.0438127069560312,0.254413984428857,-4.2248516967062,"4930465K10Rik",NA,"4930465K10Rik"
"10415092",0.318962694533303,0.0934162837608663,0.54450910530574,8.12501363751342,3.04453830899243,0.0090818159124036,0.142278437714712,-2.75953245377285,"4930579G18Rik",NA,"4930579G18Rik"
"10595895",0.148895690877419,-0.0264743541816142,0.324265735936453,7.95441691703995,1.82786529692108,0.0898131683613887,0.343675167116038,-4.86259779690326,"4930579K19Rik",NA,"4930579K19Rik"
"10390426",0.226907690270405,-0.00733778013374597,0.461153160674555,9.20227943283008,2.08542936861768,0.0565912166650266,0.280080322528689,-4.45536262032457,"4933428G20Rik",NA,"4933428G20Rik"
"10465831",0.0250831425788938,-0.283466796758311,0.333633081916098,8.74264295305862,0.175014468477988,0.863673345003771,0.93973526455744,-6.40305004251962,"5730408K05Rik",NA,"5730408K05Rik"
"10384776",0.0387273012336385,-0.169049703024751,0.246504305492028,9.18138743468852,0.401270492762726,0.694518349614106,0.850998681665296,-6.33533135832469,"5730522E02Rik",NA,"5730522E02Rik"
"10519046",0.0990647288881276,-0.104150106558977,0.302279564335233,8.66037398425062,1.04949679674798,0.312427231343842,0.587435389512346,-5.86577613810974,"5930403L14Rik",NA,"5930403L14Rik"
"10510602",0.110323986420714,-0.065263318544703,0.285911291386131,7.94450156677553,1.3526776210938,0.19844395710961,0.473138530862474,-5.52307834532756,"9230110K08Rik",NA,"9230110K08Rik"
"10426603",0.0183813573632199,-0.152475915990467,0.189238630716907,8.13902308045739,0.231612278567833,0.820322821540776,0.917001550508555,-6.39104864906589,"9330020H09Rik",NA,"9330020H09Rik"
"10433773",-0.0795124572997745,-0.397800256166831,0.238775341567282,10.5235509906209,-0.537814685018656,0.599484418483319,0.797591043190862,-6.26938090088423,"A630010A05Rik",NA,"A630010A05Rik"
"10450920",-0.19692466640426,-0.406861333419825,0.013012000611306,10.936284840415,-2.0194322722538,0.0638127104376299,0.295649196127573,-4.56243188762606,"AY036118",NA,"AY036118"
